/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=232231, episodic_return=[16.58426049]
global_step=233232, episodic_return=[-11.14346048]
SPS: 860
global_step=234233, episodic_return=[-29.64518099]
global_step=235234, episodic_return=[10.50785785]
SPS: 860
global_step=236235, episodic_return=[39.66837993]
global_step=237236, episodic_return=[74.03056543]
SPS: 860
global_step=238237, episodic_return=[54.28941812]
global_step=239238, episodic_return=[-9.09720699]
SPS: 860
global_step=240239, episodic_return=[-26.65851481]
global_step=241240, episodic_return=[67.90671501]
SPS: 860
global_step=242241, episodic_return=[-78.71047576]
global_step=243242, episodic_return=[64.17620923]
SPS: 860
global_step=244243, episodic_return=[75.49019346]
global_step=245244, episodic_return=[19.589701]
SPS: 860
global_step=246245, episodic_return=[65.89875609]
global_step=247246, episodic_return=[97.43694065]
SPS: 860
global_step=248247, episodic_return=[105.98553994]
global_step=249248, episodic_return=[-106.25673524]
SPS: 860
global_step=250249, episodic_return=[73.92673263]
global_step=251250, episodic_return=[70.99732007]
SPS: 860
global_step=252251, episodic_return=[-13.53173589]
global_step=253252, episodic_return=[127.40915038]
SPS: 860
global_step=254253, episodic_return=[59.21767826]
global_step=255254, episodic_return=[168.77081116]
SPS: 860
global_step=256255, episodic_return=[67.0193442]
global_step=257256, episodic_return=[130.54888976]
SPS: 860
global_step=258257, episodic_return=[53.11227688]
global_step=259258, episodic_return=[184.16016002]
SPS: 860
global_step=260259, episodic_return=[51.75443896]
global_step=261260, episodic_return=[74.48184456]
SPS: 860
global_step=262261, episodic_return=[11.18915934]
global_step=263262, episodic_return=[81.43037794]
SPS: 860
global_step=264263, episodic_return=[2.72642171]
global_step=265264, episodic_return=[26.15973904]
SPS: 860
global_step=266265, episodic_return=[157.23512767]
global_step=267266, episodic_return=[150.83822906]
global_step=268267, episodic_return=[31.28395782]
SPS: 860
global_step=269268, episodic_return=[86.86114493]
global_step=270269, episodic_return=[62.02835343]
SPS: 860
global_step=271270, episodic_return=[94.83014311]
global_step=272271, episodic_return=[101.52001478]
SPS: 860
global_step=273272, episodic_return=[42.14662312]
global_step=274273, episodic_return=[37.88602478]
SPS: 860
global_step=275274, episodic_return=[107.10611221]
global_step=276275, episodic_return=[48.67432955]
SPS: 860
global_step=277276, episodic_return=[53.64039714]
global_step=278277, episodic_return=[17.25049064]
SPS: 860
global_step=279278, episodic_return=[69.71865663]
global_step=280279, episodic_return=[-218.9743955]
SPS: 860
global_step=281280, episodic_return=[-39.69821639]
global_step=282281, episodic_return=[59.59621637]
SPS: 860
global_step=283282, episodic_return=[34.07776367]
global_step=284283, episodic_return=[5.82004923]
SPS: 860
global_step=285284, episodic_return=[93.97829743]
global_step=286285, episodic_return=[6.37563143]
SPS: 860
global_step=287286, episodic_return=[-160.09673496]
global_step=288287, episodic_return=[-191.3532707]
SPS: 860
global_step=289288, episodic_return=[-171.31472642]
global_step=290289, episodic_return=[-112.89495574]
SPS: 860
global_step=291290, episodic_return=[-106.46059767]
global_step=292291, episodic_return=[-90.81429253]
SPS: 860
global_step=293292, episodic_return=[-42.35662327]
global_step=294293, episodic_return=[-79.78393288]
SPS: 860
global_step=295294, episodic_return=[-162.151528]
global_step=296295, episodic_return=[-59.52067662]
SPS: 860
global_step=297296, episodic_return=[-209.88895712]
global_step=298297, episodic_return=[17.15584664]
SPS: 860
global_step=299298, episodic_return=[-44.12055227]
global_step=300299, episodic_return=[-22.65922221]
SPS: 859
global_step=301300, episodic_return=[-128.45098906]
global_step=302301, episodic_return=[-40.69775629]
SPS: 859
global_step=303302, episodic_return=[-106.31977976]
global_step=304303, episodic_return=[6.28981314]
SPS: 859
global_step=305304, episodic_return=[36.30018262]
global_step=306305, episodic_return=[8.32686104]
SPS: 859
global_step=307306, episodic_return=[44.78746144]
global_step=308307, episodic_return=[-86.2635138]
SPS: 859
global_step=309308, episodic_return=[-48.41749551]
global_step=310309, episodic_return=[3.10797267]
SPS: 859
global_step=311310, episodic_return=[-69.49223118]
global_step=312311, episodic_return=[109.7540897]
global_step=313312, episodic_return=[-34.42573966]
SPS: 859
global_step=314313, episodic_return=[-24.28995905]
global_step=315314, episodic_return=[29.69953483]
SPS: 859
global_step=316315, episodic_return=[41.55686426]
global_step=317316, episodic_return=[-292.58186529]
SPS: 859
global_step=318317, episodic_return=[37.10113135]
global_step=319318, episodic_return=[55.96913733]
SPS: 859
global_step=320319, episodic_return=[-5.78130261]
global_step=321320, episodic_return=[5.18115018]
SPS: 859
global_step=322321, episodic_return=[-256.31723803]
global_step=323322, episodic_return=[-23.06410645]
SPS: 859
global_step=324323, episodic_return=[98.76830335]
global_step=325324, episodic_return=[-4.05841012]
SPS: 859
global_step=326325, episodic_return=[39.00713093]
global_step=327326, episodic_return=[18.25449912]
SPS: 859
global_step=328327, episodic_return=[114.14124822]
global_step=329328, episodic_return=[37.33751754]
SPS: 859
global_step=330329, episodic_return=[-16.65925365]
global_step=331330, episodic_return=[-30.42558303]
SPS: 859
global_step=332331, episodic_return=[92.94525748]
global_step=333332, episodic_return=[-136.46635843]
SPS: 859
global_step=334333, episodic_return=[-174.70857586]
global_step=335334, episodic_return=[111.85388794]
SPS: 859
global_step=336335, episodic_return=[60.83711716]
global_step=337336, episodic_return=[19.69196572]
SPS: 859
global_step=338337, episodic_return=[-36.38765914]
global_step=339338, episodic_return=[-46.92688905]
SPS: 859
global_step=340339, episodic_return=[-125.37079549]
global_step=341340, episodic_return=[40.44982129]
SPS: 859
global_step=342341, episodic_return=[66.00412148]
global_step=343342, episodic_return=[105.41571685]
SPS: 859
global_step=344343, episodic_return=[11.87152208]
global_step=345344, episodic_return=[-131.14863378]
SPS: 859
global_step=346345, episodic_return=[-164.57593069]
global_step=347346, episodic_return=[-70.2366697]
SPS: 859
global_step=348347, episodic_return=[45.50685994]
global_step=349348, episodic_return=[-5.2384761]
SPS: 859
global_step=350349, episodic_return=[-47.34613385]
global_step=351350, episodic_return=[78.26915921]
SPS: 859
global_step=352351, episodic_return=[31.80377147]
global_step=353352, episodic_return=[-13.97849644]
SPS: 860
global_step=354353, episodic_return=[29.50889197]
global_step=355354, episodic_return=[-56.58246543]
SPS: 860
