/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=292291, episodic_return=[-346.97822476]
SPS: 714
global_step=293292, episodic_return=[-279.99592873]
global_step=294293, episodic_return=[-250.9451903]
SPS: 714
global_step=295294, episodic_return=[-287.74309234]
global_step=296295, episodic_return=[-238.34387761]
SPS: 714
global_step=297296, episodic_return=[-345.00868165]
global_step=298297, episodic_return=[-344.85214574]
SPS: 714
global_step=299298, episodic_return=[-241.76048634]
global_step=300299, episodic_return=[-357.49385402]
SPS: 715
global_step=301300, episodic_return=[-315.84922584]
global_step=302301, episodic_return=[-297.77175148]
SPS: 715
global_step=303302, episodic_return=[-329.33860566]
global_step=304303, episodic_return=[-404.28036141]
SPS: 715
global_step=305304, episodic_return=[-328.74966466]
global_step=306305, episodic_return=[-376.57570733]
SPS: 715
global_step=307306, episodic_return=[-359.23634821]
global_step=308307, episodic_return=[-366.34563853]
SPS: 715
global_step=309308, episodic_return=[-299.13215871]
global_step=310309, episodic_return=[-339.03997382]
SPS: 715
global_step=311310, episodic_return=[-366.37678319]
global_step=312311, episodic_return=[-317.55934853]
global_step=313312, episodic_return=[-292.48309758]
SPS: 715
global_step=314313, episodic_return=[-399.18657123]
global_step=315314, episodic_return=[-378.62701561]
SPS: 715
global_step=316315, episodic_return=[-307.41994434]
global_step=317316, episodic_return=[-519.06743825]
SPS: 715
global_step=318317, episodic_return=[-312.44905789]
global_step=319318, episodic_return=[-435.32116278]
SPS: 715
global_step=320319, episodic_return=[-364.25605982]
global_step=321320, episodic_return=[-459.27563754]
SPS: 715
global_step=322321, episodic_return=[-265.53190782]
global_step=323322, episodic_return=[-457.51778951]
SPS: 715
global_step=324323, episodic_return=[-334.47792471]
global_step=325324, episodic_return=[-432.64450831]
SPS: 715
global_step=326325, episodic_return=[-304.60711676]
global_step=327326, episodic_return=[-286.9806386]
SPS: 715
global_step=328327, episodic_return=[-361.08493435]
global_step=329328, episodic_return=[-351.32753341]
