/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=479478, episodic_return=[1805.3428969]
global_step=480479, episodic_return=[1906.80995471]
SPS: 772
global_step=481480, episodic_return=[1597.26052003]
global_step=482481, episodic_return=[1522.2186708]
SPS: 773
global_step=483482, episodic_return=[1707.76353252]
global_step=484483, episodic_return=[891.93701893]
SPS: 773
global_step=485484, episodic_return=[1514.23611618]
global_step=486485, episodic_return=[77.77148376]
SPS: 773
global_step=487486, episodic_return=[1664.44286459]
global_step=488487, episodic_return=[1498.46535534]
SPS: 773
global_step=489488, episodic_return=[492.73711343]
global_step=490489, episodic_return=[1654.67226462]
global_step=491490, episodic_return=[1610.39606671]
SPS: 773
global_step=492491, episodic_return=[1633.3710912]
global_step=493492, episodic_return=[1162.9865655]
SPS: 773
global_step=494493, episodic_return=[458.64189088]
global_step=495494, episodic_return=[1077.97682253]
SPS: 773
global_step=496495, episodic_return=[835.46144601]
global_step=497496, episodic_return=[1740.67892537]
SPS: 773
global_step=498497, episodic_return=[910.8809576]
global_step=499498, episodic_return=[1800.70475472]
SPS: 773
global_step=500499, episodic_return=[975.30679389]
global_step=501500, episodic_return=[1773.83222011]
SPS: 773
global_step=502501, episodic_return=[1813.07723058]
global_step=503502, episodic_return=[184.13430528]
SPS: 774
global_step=504503, episodic_return=[237.34836909]
global_step=505504, episodic_return=[1140.24511868]
SPS: 774
global_step=506505, episodic_return=[1308.29388833]
global_step=507506, episodic_return=[590.17230824]
SPS: 774
global_step=508507, episodic_return=[1537.07684474]
global_step=509508, episodic_return=[1022.82307914]
SPS: 774
global_step=510509, episodic_return=[1907.0017192]
global_step=511510, episodic_return=[530.24062027]
SPS: 774
global_step=512511, episodic_return=[1896.44079764]
global_step=513512, episodic_return=[1628.14546995]
SPS: 774
global_step=514513, episodic_return=[382.27478239]
global_step=515514, episodic_return=[152.28799155]
SPS: 774
global_step=516515, episodic_return=[198.3252389]
global_step=517516, episodic_return=[1726.89162124]
SPS: 775
global_step=518517, episodic_return=[389.01707713]
global_step=519518, episodic_return=[1690.15905655]
SPS: 775
global_step=520519, episodic_return=[1030.48235191]
global_step=521520, episodic_return=[1762.98189895]
SPS: 775
global_step=522521, episodic_return=[1811.7190527]
global_step=523522, episodic_return=[1770.61606736]
SPS: 775
global_step=524523, episodic_return=[1610.97604533]
global_step=525524, episodic_return=[1540.53535949]
SPS: 775
global_step=526525, episodic_return=[1862.86921638]
global_step=527526, episodic_return=[394.94302245]
SPS: 775
global_step=528527, episodic_return=[681.84554134]
global_step=529528, episodic_return=[771.98436207]
SPS: 775
global_step=530529, episodic_return=[1724.7496807]
global_step=531530, episodic_return=[1533.41760327]
SPS: 775
global_step=532531, episodic_return=[-27.52629115]
global_step=533532, episodic_return=[1366.14854973]
SPS: 775
global_step=534533, episodic_return=[1525.46815249]
global_step=535534, episodic_return=[1792.69762098]
global_step=536535, episodic_return=[1755.14841085]
SPS: 775
global_step=537536, episodic_return=[1765.26035953]
global_step=538537, episodic_return=[944.47130067]
SPS: 775
global_step=539538, episodic_return=[1928.3268558]
global_step=540539, episodic_return=[1544.80998397]
