/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
SPS: 774
global_step=187186, episodic_return=[747.82875258]
global_step=188187, episodic_return=[626.2046517]
SPS: 774
global_step=189188, episodic_return=[675.87105232]
global_step=190189, episodic_return=[625.29901322]
SPS: 774
global_step=191190, episodic_return=[621.46550831]
global_step=192191, episodic_return=[672.20453995]
SPS: 774
global_step=193192, episodic_return=[656.25871847]
global_step=194193, episodic_return=[405.9965466]
SPS: 774
global_step=195194, episodic_return=[740.32480611]
global_step=196195, episodic_return=[695.06402694]
SPS: 775
global_step=197196, episodic_return=[778.5451882]
global_step=198197, episodic_return=[755.76805749]
SPS: 773
global_step=199198, episodic_return=[729.76654785]
global_step=200199, episodic_return=[806.74680347]
SPS: 772
global_step=201200, episodic_return=[680.89325224]
global_step=202201, episodic_return=[708.6066415]
SPS: 772
global_step=203202, episodic_return=[814.81749178]
global_step=204203, episodic_return=[709.06854934]
SPS: 771
global_step=205204, episodic_return=[817.34092883]
global_step=206205, episodic_return=[710.5522201]
SPS: 771
global_step=207206, episodic_return=[722.52611599]
global_step=208207, episodic_return=[834.7738678]
SPS: 771
global_step=209208, episodic_return=[778.67008321]
global_step=210209, episodic_return=[785.6386262]
SPS: 771
global_step=211210, episodic_return=[742.04567066]
global_step=212211, episodic_return=[603.28553927]
SPS: 772
global_step=213212, episodic_return=[808.8414239]
global_step=214213, episodic_return=[754.00761895]
SPS: 772
global_step=215214, episodic_return=[798.74763356]
global_step=216215, episodic_return=[772.48872039]
SPS: 773
global_step=217216, episodic_return=[760.19530363]
global_step=218217, episodic_return=[744.50331958]
SPS: 773
global_step=219218, episodic_return=[689.92332984]
global_step=220219, episodic_return=[803.38849266]
SPS: 774
global_step=221220, episodic_return=[702.19770284]
global_step=222221, episodic_return=[645.12181975]
global_step=223222, episodic_return=[843.58253377]
SPS: 775
global_step=224223, episodic_return=[850.49121191]
global_step=225224, episodic_return=[778.16099554]
SPS: 775
global_step=226225, episodic_return=[873.66047784]
global_step=227226, episodic_return=[706.18868211]
SPS: 776
global_step=228227, episodic_return=[830.70858196]
global_step=229228, episodic_return=[826.81310181]
SPS: 776
global_step=230229, episodic_return=[848.24199862]
global_step=231230, episodic_return=[846.48003982]
SPS: 777
global_step=232231, episodic_return=[767.09708251]
global_step=233232, episodic_return=[917.02545957]
SPS: 777
global_step=234233, episodic_return=[673.03292855]
global_step=235234, episodic_return=[881.61789762]
SPS: 778
global_step=236235, episodic_return=[839.25064018]
global_step=237236, episodic_return=[890.22725905]
SPS: 778
global_step=238237, episodic_return=[786.72751056]
global_step=239238, episodic_return=[718.28370372]
SPS: 779
global_step=240239, episodic_return=[854.49750514]
global_step=241240, episodic_return=[814.22174971]
SPS: 779
global_step=242241, episodic_return=[775.3435094]
global_step=243242, episodic_return=[750.76884615]
SPS: 780
global_step=244243, episodic_return=[832.98740547]
global_step=245244, episodic_return=[836.47771946]
SPS: 780
global_step=246245, episodic_return=[782.28969145]
global_step=247246, episodic_return=[830.04222147]
SPS: 781
global_step=248247, episodic_return=[866.90046064]
global_step=249248, episodic_return=[859.94465264]
SPS: 781
global_step=250249, episodic_return=[884.02583574]
global_step=251250, episodic_return=[941.12509411]
SPS: 782
global_step=252251, episodic_return=[849.1541465]
global_step=253252, episodic_return=[861.78683714]
SPS: 782
global_step=254253, episodic_return=[-358.87930463]
global_step=255254, episodic_return=[844.32052672]
SPS: 783
global_step=256255, episodic_return=[-355.41308154]
global_step=257256, episodic_return=[350.06598032]
SPS: 783
global_step=258257, episodic_return=[795.35649773]
global_step=259258, episodic_return=[-314.41880158]
SPS: 784
global_step=260259, episodic_return=[917.30764103]
global_step=261260, episodic_return=[-415.28425143]
SPS: 784
global_step=262261, episodic_return=[-420.47333416]
global_step=263262, episodic_return=[-511.50896414]
SPS: 784
global_step=264263, episodic_return=[914.61096691]
global_step=265264, episodic_return=[885.15040999]
SPS: 785
global_step=266265, episodic_return=[832.91147011]
global_step=267266, episodic_return=[794.20431129]
global_step=268267, episodic_return=[992.38246178]
SPS: 785
global_step=269268, episodic_return=[-258.33558719]
global_step=270269, episodic_return=[825.32595056]
SPS: 786
global_step=271270, episodic_return=[812.55505566]
global_step=272271, episodic_return=[737.09777036]
SPS: 786
global_step=273272, episodic_return=[890.10431763]
global_step=274273, episodic_return=[868.73975452]
SPS: 787
global_step=275274, episodic_return=[877.83451399]
global_step=276275, episodic_return=[867.69599863]
SPS: 787
global_step=277276, episodic_return=[940.76627592]
global_step=278277, episodic_return=[848.84661589]
SPS: 788
global_step=279278, episodic_return=[871.88206328]
global_step=280279, episodic_return=[978.97658637]
SPS: 788
global_step=281280, episodic_return=[881.85069933]
global_step=282281, episodic_return=[894.84126931]
SPS: 789
global_step=283282, episodic_return=[894.85725744]
global_step=284283, episodic_return=[857.65680033]
SPS: 789
global_step=285284, episodic_return=[895.59727445]
global_step=286285, episodic_return=[842.85742695]
SPS: 789
global_step=287286, episodic_return=[899.53673502]
global_step=288287, episodic_return=[892.52589373]
SPS: 790
global_step=289288, episodic_return=[897.24834652]
global_step=290289, episodic_return=[937.7908248]
SPS: 790
global_step=291290, episodic_return=[899.18513403]
global_step=292291, episodic_return=[1021.4824059]
SPS: 791
global_step=293292, episodic_return=[963.11249343]
global_step=294293, episodic_return=[864.2066836]
SPS: 791
global_step=295294, episodic_return=[855.82948173]
global_step=296295, episodic_return=[905.90761379]
SPS: 792
global_step=297296, episodic_return=[961.69742056]
global_step=298297, episodic_return=[893.07288997]
SPS: 792
global_step=299298, episodic_return=[968.41253998]
global_step=300299, episodic_return=[1008.41115661]
SPS: 792
global_step=301300, episodic_return=[938.98782248]
global_step=302301, episodic_return=[986.68259784]
SPS: 793
global_step=303302, episodic_return=[950.96818489]
global_step=304303, episodic_return=[945.54731744]
SPS: 793
global_step=305304, episodic_return=[866.91013731]
global_step=306305, episodic_return=[869.19396524]
SPS: 793
global_step=307306, episodic_return=[916.51176132]
global_step=308307, episodic_return=[948.9865189]
SPS: 794
global_step=309308, episodic_return=[788.58272014]
global_step=310309, episodic_return=[796.15878394]
SPS: 794
global_step=311310, episodic_return=[873.97937324]
global_step=312311, episodic_return=[853.93089482]
global_step=313312, episodic_return=[984.9107868]
SPS: 794
global_step=314313, episodic_return=[767.97736461]
global_step=315314, episodic_return=[936.25569439]
SPS: 795
global_step=316315, episodic_return=[864.89585744]
global_step=317316, episodic_return=[946.92300575]
SPS: 795
global_step=318317, episodic_return=[874.26694291]
global_step=319318, episodic_return=[785.9009191]
SPS: 796
global_step=320319, episodic_return=[913.97191911]
global_step=321320, episodic_return=[932.51302745]
SPS: 796
global_step=322321, episodic_return=[-270.58287251]
global_step=323322, episodic_return=[883.7034263]
SPS: 796
global_step=324323, episodic_return=[868.02391467]
global_step=325324, episodic_return=[909.37585778]
SPS: 797
global_step=326325, episodic_return=[668.24222866]
global_step=327326, episodic_return=[834.02128819]
SPS: 797
global_step=328327, episodic_return=[997.32421949]
global_step=329328, episodic_return=[959.52653592]
SPS: 797
global_step=330329, episodic_return=[880.1331589]
global_step=331330, episodic_return=[930.03051478]
SPS: 798
global_step=332331, episodic_return=[924.86786315]
global_step=333332, episodic_return=[829.06272191]
SPS: 798
global_step=334333, episodic_return=[921.92388061]
global_step=335334, episodic_return=[883.12358302]
SPS: 798
global_step=336335, episodic_return=[915.20927813]
global_step=337336, episodic_return=[796.89365408]
