/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=261260, episodic_return=[-216.30107345]
SPS: 716
global_step=262261, episodic_return=[-212.36690209]
global_step=263262, episodic_return=[-414.89530618]
SPS: 716
global_step=264263, episodic_return=[-472.27041805]
global_step=265264, episodic_return=[-303.12173507]
SPS: 716
global_step=266265, episodic_return=[-238.67036544]
global_step=267266, episodic_return=[-380.59551206]
global_step=268267, episodic_return=[-301.17031489]
SPS: 716
global_step=269268, episodic_return=[-320.59600356]
global_step=270269, episodic_return=[-249.25732276]
SPS: 716
global_step=271270, episodic_return=[-367.15717726]
global_step=272271, episodic_return=[-182.9645985]
SPS: 716
global_step=273272, episodic_return=[-244.72555606]
global_step=274273, episodic_return=[-291.03136212]
SPS: 716
global_step=275274, episodic_return=[-463.28781465]
global_step=276275, episodic_return=[-297.44534004]
SPS: 717
global_step=277276, episodic_return=[-261.48076442]
global_step=278277, episodic_return=[-188.85912753]
SPS: 717
global_step=279278, episodic_return=[-278.15556837]
global_step=280279, episodic_return=[-313.48319086]
SPS: 717
global_step=281280, episodic_return=[-286.07152558]
global_step=282281, episodic_return=[-304.67542878]
SPS: 717
global_step=283282, episodic_return=[-261.11580321]
global_step=284283, episodic_return=[-211.45324834]
SPS: 717
global_step=285284, episodic_return=[-316.01331298]
global_step=286285, episodic_return=[-124.37587719]
SPS: 717
global_step=287286, episodic_return=[-325.63939685]
global_step=288287, episodic_return=[-275.69922332]
SPS: 717
global_step=289288, episodic_return=[-295.66688116]
global_step=290289, episodic_return=[-305.60076782]
SPS: 717
global_step=291290, episodic_return=[-351.74271971]
global_step=292291, episodic_return=[-260.22186701]
SPS: 717
global_step=293292, episodic_return=[-281.76702794]
global_step=294293, episodic_return=[-279.26821155]
SPS: 717
global_step=295294, episodic_return=[-285.56873289]
global_step=296295, episodic_return=[-313.31206512]
SPS: 717
global_step=297296, episodic_return=[-334.0158134]
global_step=298297, episodic_return=[-333.13642179]
SPS: 717
global_step=299298, episodic_return=[-257.60642748]
global_step=300299, episodic_return=[-251.79430552]
SPS: 717
global_step=301300, episodic_return=[-307.75926806]
global_step=302301, episodic_return=[-265.86732586]
SPS: 717
global_step=303302, episodic_return=[-298.28428202]
global_step=304303, episodic_return=[-256.52696094]
SPS: 717
global_step=305304, episodic_return=[-176.67241357]
global_step=306305, episodic_return=[-372.37198303]
SPS: 717
global_step=307306, episodic_return=[-280.2467462]
global_step=308307, episodic_return=[-326.65417956]
SPS: 717
global_step=309308, episodic_return=[-282.67758411]
global_step=310309, episodic_return=[-331.21862895]
SPS: 717
global_step=311310, episodic_return=[-268.2321924]
global_step=312311, episodic_return=[-295.01747921]
global_step=313312, episodic_return=[-299.89300356]
SPS: 718
global_step=314313, episodic_return=[-237.65574319]
global_step=315314, episodic_return=[-351.37278293]
SPS: 718
global_step=316315, episodic_return=[-333.31910144]
global_step=317316, episodic_return=[-316.35082719]
SPS: 718
global_step=318317, episodic_return=[-224.21890708]
global_step=319318, episodic_return=[-281.24090354]
SPS: 718
global_step=320319, episodic_return=[-314.94978775]
global_step=321320, episodic_return=[-327.54856466]
SPS: 718
global_step=322321, episodic_return=[-296.47896255]
global_step=323322, episodic_return=[-398.51287956]
SPS: 718
global_step=324323, episodic_return=[-256.65399349]
global_step=325324, episodic_return=[-285.49950866]
SPS: 718
global_step=326325, episodic_return=[-355.31009494]
global_step=327326, episodic_return=[-284.73307403]
SPS: 718
global_step=328327, episodic_return=[-269.18367281]
global_step=329328, episodic_return=[-285.07152839]
SPS: 718
global_step=330329, episodic_return=[-319.86902337]
global_step=331330, episodic_return=[-347.42103729]
SPS: 718
global_step=332331, episodic_return=[-301.15428375]
global_step=333332, episodic_return=[-303.47456079]
SPS: 718
global_step=334333, episodic_return=[-300.969854]
global_step=335334, episodic_return=[-235.73195586]
SPS: 718
global_step=336335, episodic_return=[-291.29180232]
global_step=337336, episodic_return=[-239.50100426]
SPS: 718
global_step=338337, episodic_return=[-315.44088702]
global_step=339338, episodic_return=[-335.87798631]
SPS: 718
global_step=340339, episodic_return=[-309.50471436]
global_step=341340, episodic_return=[-261.64175394]
SPS: 718
global_step=342341, episodic_return=[-310.17175445]
global_step=343342, episodic_return=[-154.2731733]
SPS: 718
global_step=344343, episodic_return=[-176.48692249]
global_step=345344, episodic_return=[-303.63211407]
SPS: 718
global_step=346345, episodic_return=[-284.30837045]
global_step=347346, episodic_return=[-236.04975151]
SPS: 718
global_step=348347, episodic_return=[-167.67761709]
global_step=349348, episodic_return=[-219.75474262]
SPS: 718
global_step=350349, episodic_return=[-253.76846597]
global_step=351350, episodic_return=[-344.91861552]
SPS: 718
global_step=352351, episodic_return=[-279.78774738]
global_step=353352, episodic_return=[-266.98842539]
SPS: 718
global_step=354353, episodic_return=[-260.83345331]
global_step=355354, episodic_return=[-267.26313216]
SPS: 718
global_step=356355, episodic_return=[-259.72457205]
global_step=357356, episodic_return=[-278.49302601]
global_step=358357, episodic_return=[-296.09747764]
SPS: 718
global_step=359358, episodic_return=[-286.85085749]
global_step=360359, episodic_return=[-334.14253242]
SPS: 719
global_step=361360, episodic_return=[-300.97659244]
global_step=362361, episodic_return=[-242.71273243]
SPS: 719
global_step=363362, episodic_return=[-308.68354569]
global_step=364363, episodic_return=[-316.50836953]
SPS: 719
global_step=365364, episodic_return=[-227.59496332]
global_step=366365, episodic_return=[-301.07361808]
SPS: 719
global_step=367366, episodic_return=[-283.10666322]
global_step=368367, episodic_return=[-264.77453203]
SPS: 718
global_step=369368, episodic_return=[-288.88087801]
global_step=370369, episodic_return=[-281.43169014]
SPS: 718
global_step=371370, episodic_return=[-248.87020673]
global_step=372371, episodic_return=[-203.66519484]
SPS: 718
global_step=373372, episodic_return=[-275.96797236]
global_step=374373, episodic_return=[-275.58052364]
SPS: 718
global_step=375374, episodic_return=[-292.862475]
global_step=376375, episodic_return=[-136.54090802]
SPS: 718
global_step=377376, episodic_return=[-302.59041917]
global_step=378377, episodic_return=[-319.51875015]
SPS: 719
global_step=379378, episodic_return=[-250.90958667]
global_step=380379, episodic_return=[-177.2197481]
SPS: 719
global_step=381380, episodic_return=[-291.93339744]
global_step=382381, episodic_return=[-266.45463777]
SPS: 719
global_step=383382, episodic_return=[-275.75352227]
global_step=384383, episodic_return=[-237.8127643]
SPS: 719
global_step=385384, episodic_return=[-320.38785718]
global_step=386385, episodic_return=[-309.92858076]
SPS: 719
global_step=387386, episodic_return=[-267.0627676]
global_step=388387, episodic_return=[-319.697115]
SPS: 719
global_step=389388, episodic_return=[-304.9203122]
global_step=390389, episodic_return=[-301.11260334]
SPS: 719
global_step=391390, episodic_return=[-323.37019907]
global_step=392391, episodic_return=[-266.84119411]
SPS: 719
global_step=393392, episodic_return=[-264.24542852]
global_step=394393, episodic_return=[-271.34280315]
SPS: 719
global_step=395394, episodic_return=[-253.24046046]
global_step=396395, episodic_return=[-244.46230965]
SPS: 719
global_step=397396, episodic_return=[-237.76907411]
global_step=398397, episodic_return=[-141.6515273]
SPS: 719
global_step=399398, episodic_return=[-300.35817305]
global_step=400399, episodic_return=[-286.12109999]
global_step=401400, episodic_return=[-265.90585383]
SPS: 719
global_step=402401, episodic_return=[-330.37593042]
global_step=403402, episodic_return=[-279.18591458]
SPS: 719
global_step=404403, episodic_return=[-262.3934351]
global_step=405404, episodic_return=[-227.21367459]
SPS: 719
global_step=406405, episodic_return=[-240.65813557]
