/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=283282, episodic_return=[1202.46827437]
global_step=284283, episodic_return=[1220.14701112]
SPS: 842
global_step=285284, episodic_return=[1206.58389454]
global_step=286285, episodic_return=[1166.60616837]
SPS: 842
global_step=287286, episodic_return=[1294.82276275]
global_step=288287, episodic_return=[1209.89104704]
SPS: 842
global_step=289288, episodic_return=[1205.10799525]
global_step=290289, episodic_return=[1209.61938374]
SPS: 842
global_step=291290, episodic_return=[-424.02531557]
global_step=292291, episodic_return=[1246.64468688]
SPS: 842
global_step=293292, episodic_return=[1216.12053372]
global_step=294293, episodic_return=[1164.73428464]
SPS: 842
global_step=295294, episodic_return=[1293.08521175]
global_step=296295, episodic_return=[1234.5337551]
SPS: 842
global_step=297296, episodic_return=[1269.82797291]
global_step=298297, episodic_return=[1243.08024177]
SPS: 842
global_step=299298, episodic_return=[1252.35627681]
global_step=300299, episodic_return=[1231.79538152]
SPS: 842
global_step=301300, episodic_return=[1229.1809563]
global_step=302301, episodic_return=[1210.85244276]
SPS: 842
global_step=303302, episodic_return=[745.13563444]
global_step=304303, episodic_return=[1253.60288045]
SPS: 843
global_step=305304, episodic_return=[1196.91825366]
global_step=306305, episodic_return=[1263.57496153]
SPS: 843
global_step=307306, episodic_return=[1222.92958977]
global_step=308307, episodic_return=[1248.72343236]
SPS: 843
global_step=309308, episodic_return=[1264.54187506]
global_step=310309, episodic_return=[1253.17954474]
SPS: 843
global_step=311310, episodic_return=[1249.69416098]
global_step=312311, episodic_return=[1301.88080169]
global_step=313312, episodic_return=[1331.82210239]
SPS: 842
global_step=314313, episodic_return=[1267.59555087]
global_step=315314, episodic_return=[1264.56334518]
SPS: 842
global_step=316315, episodic_return=[1289.73961682]
global_step=317316, episodic_return=[1201.00173077]
SPS: 842
global_step=318317, episodic_return=[1283.9938379]
global_step=319318, episodic_return=[666.90746451]
SPS: 842
global_step=320319, episodic_return=[1240.15735343]
global_step=321320, episodic_return=[672.11680929]
SPS: 842
global_step=322321, episodic_return=[1293.53053526]
global_step=323322, episodic_return=[1226.85136061]
SPS: 842
global_step=324323, episodic_return=[145.89242833]
global_step=325324, episodic_return=[1295.93623152]
SPS: 842
global_step=326325, episodic_return=[1254.01167043]
global_step=327326, episodic_return=[1218.91182999]
SPS: 842
global_step=328327, episodic_return=[1272.97195274]
global_step=329328, episodic_return=[1291.82195379]
SPS: 842
global_step=330329, episodic_return=[1276.22353717]
global_step=331330, episodic_return=[1274.95348758]
SPS: 842
global_step=332331, episodic_return=[1206.08860025]
global_step=333332, episodic_return=[1311.4813382]
SPS: 843
global_step=334333, episodic_return=[1322.43440173]
global_step=335334, episodic_return=[1105.17520351]
SPS: 843
global_step=336335, episodic_return=[1317.98632812]
global_step=337336, episodic_return=[1249.80295972]
SPS: 843
global_step=338337, episodic_return=[1244.46103778]
global_step=339338, episodic_return=[1227.99748051]
SPS: 843
global_step=340339, episodic_return=[1284.79287224]
global_step=341340, episodic_return=[1263.43934683]
SPS: 843
global_step=342341, episodic_return=[1267.49870606]
global_step=343342, episodic_return=[1311.62711125]
SPS: 843
global_step=344343, episodic_return=[1293.78879725]
