/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=220219, episodic_return=[-223.77963266]
SPS: 739
global_step=221220, episodic_return=[-381.33710106]
global_step=222221, episodic_return=[-330.62433801]
global_step=223222, episodic_return=[-265.29246422]
SPS: 739
global_step=224223, episodic_return=[-348.02731684]
global_step=225224, episodic_return=[-328.55524766]
SPS: 739
global_step=226225, episodic_return=[-279.10621802]
global_step=227226, episodic_return=[-291.10672469]
SPS: 739
global_step=228227, episodic_return=[-300.68689034]
global_step=229228, episodic_return=[-375.22559428]
SPS: 739
global_step=230229, episodic_return=[-268.3097517]
global_step=231230, episodic_return=[-211.40398126]
SPS: 739
global_step=232231, episodic_return=[-336.38124868]
global_step=233232, episodic_return=[-300.06429564]
SPS: 739
global_step=234233, episodic_return=[-279.80325797]
global_step=235234, episodic_return=[-327.06412819]
SPS: 739
global_step=236235, episodic_return=[-292.23659246]
global_step=237236, episodic_return=[-307.31143382]
SPS: 739
global_step=238237, episodic_return=[-265.36228018]
global_step=239238, episodic_return=[-273.2575751]
SPS: 739
global_step=240239, episodic_return=[-356.08167367]
global_step=241240, episodic_return=[-289.86739215]
SPS: 739
global_step=242241, episodic_return=[-247.11396185]
global_step=243242, episodic_return=[-261.32020186]
SPS: 739
global_step=244243, episodic_return=[-283.5894376]
global_step=245244, episodic_return=[-303.56171494]
SPS: 739
global_step=246245, episodic_return=[-311.49378735]
global_step=247246, episodic_return=[-284.68302722]
SPS: 739
global_step=248247, episodic_return=[-326.80841038]
global_step=249248, episodic_return=[-228.21517989]
SPS: 739
global_step=250249, episodic_return=[-302.96723697]
global_step=251250, episodic_return=[-279.17960819]
SPS: 739
global_step=252251, episodic_return=[-245.88086187]
global_step=253252, episodic_return=[-238.60392774]
SPS: 739
global_step=254253, episodic_return=[-349.27145721]
global_step=255254, episodic_return=[-329.19645172]
SPS: 739
global_step=256255, episodic_return=[-202.28652287]
global_step=257256, episodic_return=[-188.98641519]
SPS: 739
global_step=258257, episodic_return=[-213.8890397]
global_step=259258, episodic_return=[-269.19451291]
SPS: 739
global_step=260259, episodic_return=[-172.85858676]
global_step=261260, episodic_return=[-241.12014504]
SPS: 740
global_step=262261, episodic_return=[-297.32562979]
global_step=263262, episodic_return=[-403.44334357]
SPS: 740
global_step=264263, episodic_return=[-261.86428406]
global_step=265264, episodic_return=[-296.4008474]
SPS: 740
global_step=266265, episodic_return=[-249.25842007]
global_step=267266, episodic_return=[-263.85040678]
global_step=268267, episodic_return=[-286.24079778]
SPS: 740
global_step=269268, episodic_return=[-271.27516838]
global_step=270269, episodic_return=[-246.27540696]
SPS: 740
global_step=271270, episodic_return=[-240.98433795]
global_step=272271, episodic_return=[-229.14324306]
SPS: 740
global_step=273272, episodic_return=[-475.83574048]
global_step=274273, episodic_return=[-175.87299942]
SPS: 740
global_step=275274, episodic_return=[-259.31544192]
global_step=276275, episodic_return=[-190.2371835]
SPS: 740
global_step=277276, episodic_return=[-314.54143494]
global_step=278277, episodic_return=[-259.51606222]
SPS: 740
global_step=279278, episodic_return=[-320.10129121]
global_step=280279, episodic_return=[-278.37957095]
SPS: 740
global_step=281280, episodic_return=[-240.00670197]
global_step=282281, episodic_return=[-236.42027235]
SPS: 740
global_step=283282, episodic_return=[-209.20843415]
global_step=284283, episodic_return=[-252.90628768]
SPS: 740
global_step=285284, episodic_return=[-323.69960471]
global_step=286285, episodic_return=[-271.9792897]
SPS: 740
global_step=287286, episodic_return=[-263.32576445]
global_step=288287, episodic_return=[-311.86015753]
SPS: 740
global_step=289288, episodic_return=[-238.93449873]
global_step=290289, episodic_return=[-100.18210169]
SPS: 740
global_step=291290, episodic_return=[-322.56947035]
global_step=292291, episodic_return=[-193.94033541]
SPS: 740
global_step=293292, episodic_return=[-227.27169979]
global_step=294293, episodic_return=[-324.40623637]
SPS: 740
global_step=295294, episodic_return=[-276.0494544]
global_step=296295, episodic_return=[-298.62125461]
SPS: 740
global_step=297296, episodic_return=[-227.17971446]
global_step=298297, episodic_return=[-253.1080482]
SPS: 740
global_step=299298, episodic_return=[-230.32898625]
global_step=300299, episodic_return=[-288.04087171]
SPS: 740
global_step=301300, episodic_return=[-276.21437376]
global_step=302301, episodic_return=[-243.09278106]
SPS: 740
global_step=303302, episodic_return=[-300.64013703]
global_step=304303, episodic_return=[-259.8813573]
SPS: 740
global_step=305304, episodic_return=[-242.75741595]
global_step=306305, episodic_return=[-203.42364392]
SPS: 740
global_step=307306, episodic_return=[-224.67313217]
global_step=308307, episodic_return=[-302.15355889]
SPS: 739
global_step=309308, episodic_return=[-327.70412602]
global_step=310309, episodic_return=[-306.79754826]
SPS: 740
global_step=311310, episodic_return=[-167.88025741]
global_step=312311, episodic_return=[-237.21064245]
global_step=313312, episodic_return=[-248.76736413]
SPS: 740
global_step=314313, episodic_return=[-212.00486106]
global_step=315314, episodic_return=[-183.67970472]
SPS: 740
global_step=316315, episodic_return=[-169.17570283]
global_step=317316, episodic_return=[-223.11447444]
SPS: 740
global_step=318317, episodic_return=[-234.27420592]
global_step=319318, episodic_return=[-193.33887861]
SPS: 740
global_step=320319, episodic_return=[-220.61032206]
global_step=321320, episodic_return=[-256.67242392]
SPS: 740
global_step=322321, episodic_return=[-177.42366659]
global_step=323322, episodic_return=[-250.79392017]
SPS: 740
global_step=324323, episodic_return=[-204.13327658]
global_step=325324, episodic_return=[-221.53959577]
SPS: 740
global_step=326325, episodic_return=[-255.61705972]
global_step=327326, episodic_return=[-221.21323844]
SPS: 740
global_step=328327, episodic_return=[-206.41342206]
global_step=329328, episodic_return=[-199.78533901]
SPS: 740
global_step=330329, episodic_return=[-177.87580969]
global_step=331330, episodic_return=[-231.54896963]
SPS: 740
global_step=332331, episodic_return=[-251.7418933]
global_step=333332, episodic_return=[-205.37690602]
SPS: 740
global_step=334333, episodic_return=[-256.61123655]
global_step=335334, episodic_return=[-188.96316332]
SPS: 740
global_step=336335, episodic_return=[-201.30826492]
global_step=337336, episodic_return=[-231.40447526]
SPS: 740
global_step=338337, episodic_return=[-266.4975051]
global_step=339338, episodic_return=[-222.72311156]
SPS: 740
global_step=340339, episodic_return=[-185.07297409]
global_step=341340, episodic_return=[-157.13001429]
SPS: 740
global_step=342341, episodic_return=[-246.05575311]
global_step=343342, episodic_return=[-187.31477646]
SPS: 740
global_step=344343, episodic_return=[-194.09260697]
global_step=345344, episodic_return=[-236.26643431]
SPS: 740
global_step=346345, episodic_return=[-264.35197073]
global_step=347346, episodic_return=[-223.72605072]
SPS: 740
global_step=348347, episodic_return=[-160.04527915]
global_step=349348, episodic_return=[-216.76153127]
SPS: 740
global_step=350349, episodic_return=[-388.22948922]
global_step=351350, episodic_return=[-175.02226486]
SPS: 740
global_step=352351, episodic_return=[-188.44158027]
global_step=353352, episodic_return=[-293.20367542]
SPS: 740
global_step=354353, episodic_return=[-229.32467353]
global_step=355354, episodic_return=[-198.16345107]
SPS: 740
global_step=356355, episodic_return=[-295.46807337]
global_step=357356, episodic_return=[-253.71160371]
global_step=358357, episodic_return=[-357.89651769]
SPS: 740
global_step=359358, episodic_return=[-224.87202712]
global_step=360359, episodic_return=[-217.74820076]
SPS: 740
global_step=361360, episodic_return=[-204.50021316]
global_step=362361, episodic_return=[-183.59584628]
SPS: 739
global_step=363362, episodic_return=[-171.98390536]
global_step=364363, episodic_return=[-221.65433254]
SPS: 739
global_step=365364, episodic_return=[-164.66783539]
global_step=366365, episodic_return=[-238.15188348]
SPS: 739
global_step=367366, episodic_return=[-356.57591788]
global_step=368367, episodic_return=[-117.43912506]
SPS: 739
global_step=369368, episodic_return=[-248.85054543]
global_step=370369, episodic_return=[-164.33441603]
SPS: 739
global_step=371370, episodic_return=[-253.72860692]
global_step=372371, episodic_return=[-151.13681493]
SPS: 739
global_step=373372, episodic_return=[-145.16866278]
global_step=374373, episodic_return=[-242.09858058]
SPS: 738
global_step=375374, episodic_return=[-158.02618441]
global_step=376375, episodic_return=[-202.43950468]
SPS: 738
global_step=377376, episodic_return=[-178.32123072]
global_step=378377, episodic_return=[-237.53039744]
SPS: 738
global_step=379378, episodic_return=[-356.77687841]
global_step=380379, episodic_return=[-283.7495929]
SPS: 738
global_step=381380, episodic_return=[-231.64816031]
global_step=382381, episodic_return=[-133.51697099]
SPS: 738
global_step=383382, episodic_return=[-99.46213768]
global_step=384383, episodic_return=[-105.57971076]
SPS: 737
global_step=385384, episodic_return=[-152.50787427]
global_step=386385, episodic_return=[-201.12846323]
SPS: 737
global_step=387386, episodic_return=[-212.34925401]
global_step=388387, episodic_return=[-266.10317234]
SPS: 737
global_step=389388, episodic_return=[-195.11043561]
global_step=390389, episodic_return=[-88.00275317]
SPS: 737
global_step=391390, episodic_return=[-186.90276402]
global_step=392391, episodic_return=[-237.05874481]
SPS: 737
global_step=393392, episodic_return=[-263.65151175]
global_step=394393, episodic_return=[-245.13910291]
SPS: 737
global_step=395394, episodic_return=[-162.56197964]
global_step=396395, episodic_return=[-94.50624413]
SPS: 736
global_step=397396, episodic_return=[-160.85877189]
global_step=398397, episodic_return=[-112.17399536]
SPS: 736
global_step=399398, episodic_return=[-155.41485395]
global_step=400399, episodic_return=[-130.86972429]
global_step=401400, episodic_return=[-121.45875732]
SPS: 736
global_step=402401, episodic_return=[-210.01184519]
