/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=176175, episodic_return=[581.97970572]
global_step=177176, episodic_return=[577.18942053]
SPS: 740
global_step=178177, episodic_return=[550.17305783]
global_step=179178, episodic_return=[539.03298972]
global_step=180179, episodic_return=[607.71641471]
SPS: 740
global_step=181180, episodic_return=[287.08056272]
global_step=182181, episodic_return=[490.5214531]
SPS: 740
global_step=183182, episodic_return=[580.88689242]
global_step=184183, episodic_return=[579.59917169]
SPS: 740
global_step=185184, episodic_return=[470.11101109]
global_step=186185, episodic_return=[505.35154354]
SPS: 740
global_step=187186, episodic_return=[620.21777941]
global_step=188187, episodic_return=[603.62798269]
SPS: 740
global_step=189188, episodic_return=[547.93530571]
global_step=190189, episodic_return=[554.0647995]
SPS: 740
global_step=191190, episodic_return=[594.64152442]
global_step=192191, episodic_return=[615.86481692]
SPS: 740
global_step=193192, episodic_return=[453.31896122]
global_step=194193, episodic_return=[601.6979033]
SPS: 740
global_step=195194, episodic_return=[668.55240639]
global_step=196195, episodic_return=[574.73484394]
SPS: 740
global_step=197196, episodic_return=[601.33168402]
global_step=198197, episodic_return=[628.16668458]
SPS: 740
global_step=199198, episodic_return=[750.54595913]
global_step=200199, episodic_return=[525.61325]
SPS: 740
global_step=201200, episodic_return=[619.910102]
global_step=202201, episodic_return=[644.24044653]
SPS: 740
global_step=203202, episodic_return=[649.24487261]
global_step=204203, episodic_return=[567.71352719]
SPS: 740
global_step=205204, episodic_return=[-4.31485928]
global_step=206205, episodic_return=[799.24201608]
SPS: 740
global_step=207206, episodic_return=[665.50863847]
global_step=208207, episodic_return=[757.08025543]
SPS: 740
global_step=209208, episodic_return=[706.45928922]
global_step=210209, episodic_return=[476.46372257]
SPS: 740
global_step=211210, episodic_return=[667.52357613]
global_step=212211, episodic_return=[704.54152079]
SPS: 740
global_step=213212, episodic_return=[710.20221588]
global_step=214213, episodic_return=[789.86744767]
SPS: 740
global_step=215214, episodic_return=[572.93603632]
global_step=216215, episodic_return=[739.65505846]
SPS: 740
global_step=217216, episodic_return=[711.93598889]
global_step=218217, episodic_return=[692.72362271]
SPS: 741
global_step=219218, episodic_return=[644.15255586]
global_step=220219, episodic_return=[783.16863142]
SPS: 741
global_step=221220, episodic_return=[763.66146071]
global_step=222221, episodic_return=[733.57793697]
global_step=223222, episodic_return=[534.35478657]
SPS: 740
global_step=224223, episodic_return=[790.33827291]
global_step=225224, episodic_return=[561.7004616]
SPS: 740
global_step=226225, episodic_return=[629.04338544]
global_step=227226, episodic_return=[697.59400375]
SPS: 740
global_step=228227, episodic_return=[750.63274026]
global_step=229228, episodic_return=[605.84334223]
SPS: 740
global_step=230229, episodic_return=[713.16447583]
global_step=231230, episodic_return=[594.24059979]
SPS: 740
global_step=232231, episodic_return=[869.65758039]
global_step=233232, episodic_return=[622.25634942]
SPS: 740
global_step=234233, episodic_return=[771.98144307]
global_step=235234, episodic_return=[803.07921595]
SPS: 740
global_step=236235, episodic_return=[573.65335825]
global_step=237236, episodic_return=[504.22753262]
SPS: 741
global_step=238237, episodic_return=[677.24746782]
global_step=239238, episodic_return=[719.31888172]
SPS: 740
global_step=240239, episodic_return=[779.71938728]
global_step=241240, episodic_return=[799.3830399]
SPS: 740
global_step=242241, episodic_return=[717.71724458]
global_step=243242, episodic_return=[808.10805462]
SPS: 740
global_step=244243, episodic_return=[660.64145074]
global_step=245244, episodic_return=[605.67559234]
SPS: 740
global_step=246245, episodic_return=[798.40332571]
global_step=247246, episodic_return=[633.27365041]
SPS: 740
global_step=248247, episodic_return=[715.85699884]
global_step=249248, episodic_return=[838.06996182]
SPS: 740
global_step=250249, episodic_return=[811.04105018]
global_step=251250, episodic_return=[697.87588673]
SPS: 740
global_step=252251, episodic_return=[849.03168148]
global_step=253252, episodic_return=[676.13809877]
SPS: 740
global_step=254253, episodic_return=[704.24992429]
global_step=255254, episodic_return=[761.12909059]
SPS: 740
global_step=256255, episodic_return=[802.4261286]
global_step=257256, episodic_return=[755.83097814]
SPS: 740
global_step=258257, episodic_return=[739.4228986]
global_step=259258, episodic_return=[754.93640803]
SPS: 740
global_step=260259, episodic_return=[778.7353769]
global_step=261260, episodic_return=[788.98603873]
SPS: 740
global_step=262261, episodic_return=[850.04430384]
global_step=263262, episodic_return=[828.15942109]
SPS: 740
global_step=264263, episodic_return=[657.69531921]
global_step=265264, episodic_return=[742.9149968]
SPS: 740
global_step=266265, episodic_return=[808.22044577]
global_step=267266, episodic_return=[770.99105493]
global_step=268267, episodic_return=[824.23478188]
SPS: 740
global_step=269268, episodic_return=[847.04773294]
global_step=270269, episodic_return=[853.01659771]
SPS: 740
global_step=271270, episodic_return=[719.32368175]
global_step=272271, episodic_return=[731.5639089]
SPS: 740
