/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=166165, episodic_return=[-338.12174621]
global_step=167166, episodic_return=[-380.35577613]
SPS: 775
global_step=168167, episodic_return=[-429.10410638]
global_step=169168, episodic_return=[-400.02618204]
SPS: 775
global_step=170169, episodic_return=[-334.30736506]
global_step=171170, episodic_return=[-351.3805816]
SPS: 774
global_step=172171, episodic_return=[-382.05689644]
global_step=173172, episodic_return=[-366.46152262]
SPS: 774
global_step=174173, episodic_return=[-334.51383771]
global_step=175174, episodic_return=[-266.29004395]
SPS: 775
global_step=176175, episodic_return=[-370.84957659]
global_step=177176, episodic_return=[-296.29211817]
SPS: 775
global_step=178177, episodic_return=[-332.42527767]
global_step=179178, episodic_return=[-329.61777536]
global_step=180179, episodic_return=[-459.95691143]
SPS: 774
global_step=181180, episodic_return=[-190.82819006]
global_step=182181, episodic_return=[-251.21656914]
SPS: 775
global_step=183182, episodic_return=[-351.41293585]
global_step=184183, episodic_return=[-229.15835662]
SPS: 774
global_step=185184, episodic_return=[-355.70043524]
global_step=186185, episodic_return=[-294.84108388]
SPS: 774
global_step=187186, episodic_return=[-310.37437324]
global_step=188187, episodic_return=[-267.90834289]
SPS: 774
global_step=189188, episodic_return=[-322.1926136]
global_step=190189, episodic_return=[-419.5346678]
SPS: 774
global_step=191190, episodic_return=[-262.10547329]
global_step=192191, episodic_return=[-351.78338005]
SPS: 774
global_step=193192, episodic_return=[-252.32367864]
global_step=194193, episodic_return=[-303.35576124]
SPS: 773
global_step=195194, episodic_return=[-331.37625065]
global_step=196195, episodic_return=[-365.49047105]
SPS: 773
global_step=197196, episodic_return=[-348.86424914]
global_step=198197, episodic_return=[-307.05661705]
SPS: 773
global_step=199198, episodic_return=[-368.26287767]
global_step=200199, episodic_return=[-414.10508997]
SPS: 773
global_step=201200, episodic_return=[-337.58437924]
global_step=202201, episodic_return=[-270.61152011]
SPS: 773
global_step=203202, episodic_return=[-311.78458494]
global_step=204203, episodic_return=[-331.67822608]
SPS: 773
global_step=205204, episodic_return=[-286.24646657]
global_step=206205, episodic_return=[-295.81270679]
SPS: 773
global_step=207206, episodic_return=[-145.29887708]
global_step=208207, episodic_return=[-329.07748302]
SPS: 773
global_step=209208, episodic_return=[-315.27884107]
global_step=210209, episodic_return=[-371.16713249]
