/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=442441, episodic_return=[460.69194932]
global_step=443442, episodic_return=[402.18777802]
SPS: 821
global_step=444443, episodic_return=[240.6358207]
global_step=445444, episodic_return=[474.84482309]
global_step=446445, episodic_return=[449.76340878]
SPS: 821
global_step=447446, episodic_return=[167.3701752]
global_step=448447, episodic_return=[-2.20224021]
SPS: 821
global_step=449448, episodic_return=[292.16575766]
global_step=450449, episodic_return=[288.92943481]
SPS: 821
global_step=451450, episodic_return=[441.41036947]
global_step=452451, episodic_return=[454.54283162]
SPS: 821
global_step=453452, episodic_return=[271.34801521]
global_step=454453, episodic_return=[379.53360638]
SPS: 821
global_step=455454, episodic_return=[211.81007473]
global_step=456455, episodic_return=[515.18637459]
SPS: 821
global_step=457456, episodic_return=[540.58232217]
global_step=458457, episodic_return=[467.28238792]
SPS: 821
global_step=459458, episodic_return=[589.25850024]
global_step=460459, episodic_return=[482.87678371]
SPS: 821
global_step=461460, episodic_return=[468.74779062]
global_step=462461, episodic_return=[503.77883358]
SPS: 821
global_step=463462, episodic_return=[339.4352964]
global_step=464463, episodic_return=[241.94221742]
SPS: 821
global_step=465464, episodic_return=[318.26397201]
global_step=466465, episodic_return=[65.52396721]
SPS: 821
global_step=467466, episodic_return=[388.36689436]
global_step=468467, episodic_return=[417.77779582]
SPS: 821
global_step=469468, episodic_return=[4.48341588]
global_step=470469, episodic_return=[-172.45012993]
SPS: 821
global_step=471470, episodic_return=[-13.76762656]
global_step=472471, episodic_return=[557.27230294]
SPS: 821
global_step=473472, episodic_return=[513.20005129]
global_step=474473, episodic_return=[509.54204602]
SPS: 821
global_step=475474, episodic_return=[214.65219574]
global_step=476475, episodic_return=[213.15903551]
SPS: 821
global_step=477476, episodic_return=[390.13228127]
global_step=478477, episodic_return=[432.1525365]
SPS: 820
global_step=479478, episodic_return=[381.06041613]
global_step=480479, episodic_return=[338.21478566]
SPS: 820
global_step=481480, episodic_return=[520.20580028]
global_step=482481, episodic_return=[154.3986575]
SPS: 820
global_step=483482, episodic_return=[495.17862077]
global_step=484483, episodic_return=[347.68932148]
SPS: 820
global_step=485484, episodic_return=[109.40880165]
global_step=486485, episodic_return=[342.13010674]
SPS: 820
global_step=487486, episodic_return=[-75.59118887]
global_step=488487, episodic_return=[522.81629818]
SPS: 820
global_step=489488, episodic_return=[450.237696]
global_step=490489, episodic_return=[238.07922235]
global_step=491490, episodic_return=[368.49811248]
SPS: 820
global_step=492491, episodic_return=[520.23016296]
global_step=493492, episodic_return=[207.84035319]
SPS: 820
global_step=494493, episodic_return=[267.40391329]
global_step=495494, episodic_return=[349.61674609]
SPS: 820
global_step=496495, episodic_return=[496.94807614]
global_step=497496, episodic_return=[226.06213099]
SPS: 820
global_step=498497, episodic_return=[564.24691814]
global_step=499498, episodic_return=[149.12190058]
SPS: 821
global_step=500499, episodic_return=[490.34026456]
global_step=501500, episodic_return=[337.48221129]
SPS: 821
global_step=502501, episodic_return=[224.66101552]
global_step=503502, episodic_return=[259.22506143]
SPS: 821
global_step=504503, episodic_return=[294.56204933]
global_step=505504, episodic_return=[465.2162185]
SPS: 821
global_step=506505, episodic_return=[374.67288171]
global_step=507506, episodic_return=[409.78995176]
SPS: 820
global_step=508507, episodic_return=[407.08992934]
global_step=509508, episodic_return=[532.90797161]
SPS: 820
global_step=510509, episodic_return=[509.47873656]
global_step=511510, episodic_return=[486.40263453]
SPS: 820
global_step=512511, episodic_return=[561.74039356]
global_step=513512, episodic_return=[430.6188384]
SPS: 820
global_step=514513, episodic_return=[563.22600516]
global_step=515514, episodic_return=[674.41053485]
SPS: 820
global_step=516515, episodic_return=[491.47702242]
global_step=517516, episodic_return=[765.6760565]
SPS: 821
global_step=518517, episodic_return=[458.80290845]
global_step=519518, episodic_return=[565.85304091]
SPS: 821
global_step=520519, episodic_return=[482.62263098]
global_step=521520, episodic_return=[129.96006382]
SPS: 821
global_step=522521, episodic_return=[392.42025834]
global_step=523522, episodic_return=[518.96310423]
SPS: 821
global_step=524523, episodic_return=[477.35792792]
global_step=525524, episodic_return=[556.24949833]
SPS: 821
global_step=526525, episodic_return=[727.12403528]
global_step=527526, episodic_return=[617.4913548]
SPS: 820
global_step=528527, episodic_return=[632.83816139]
global_step=529528, episodic_return=[314.03019094]
SPS: 820
global_step=530529, episodic_return=[727.93916478]
global_step=531530, episodic_return=[333.03477489]
SPS: 820
global_step=532531, episodic_return=[425.24753097]
global_step=533532, episodic_return=[659.10656325]
SPS: 820
global_step=534533, episodic_return=[672.09772871]
global_step=535534, episodic_return=[459.11294425]
global_step=536535, episodic_return=[669.34307402]
SPS: 820
global_step=537536, episodic_return=[82.90794174]
global_step=538537, episodic_return=[40.06402318]
SPS: 820
global_step=539538, episodic_return=[458.56957619]
global_step=540539, episodic_return=[557.08629412]
SPS: 820
global_step=541540, episodic_return=[576.34609569]
global_step=542541, episodic_return=[504.9703066]
SPS: 820
global_step=543542, episodic_return=[639.68088513]
global_step=544543, episodic_return=[188.80836594]
SPS: 820
global_step=545544, episodic_return=[628.08991959]
global_step=546545, episodic_return=[794.73983758]
